id,price,speed,hd,ram,screen,cores,cd,laptop,trend
139,1334,23,28,10,15,4,no,no,1
140,2973,24,16,14,19,26,no,no,5
141,2235,21,16,6,21,24,no,no,4
142,2807,20,20,6,15,30,no,no,4
143,1835,18,24,14,19,10,no,no,1
144,3486,35,7,16,19,28,no,no,4
145,4342,38,1,48,15,28,no,no,5
146,3582,33,5,28,15,30,no,no,5
147,2270,16,20,2,23,26,no,no,4
148,1479,23,8,14,23,6,no,no,2
149,2824,17,16,14,23,12,yes,no,1
150,1320,20,8,6,17,8,yes,no,2
151,1929,18,12,6,15,4,no,no,1
152,4073,34,3,20,23,18,no,no,5
153,2480,19,28,10,23,26,yes,no,4
154,1488,24,20,10,17,4,yes,no,2
155,2997,24,8,6,23,14,no,no,1
156,1453,18,8,14,17,10,no,no,2
157,633,24,20,2,12,4,no,yes,2
158,2797,24,8,2,15,28,no,no,5
159,586,16,20,6,12,8,no,yes,1
160,4299,33,7,60,17,12,no,no,1
161,3307,39,3,24,19,20,no,no,4
162,1820,15,12,6,17,6,yes,no,2
163,1109,24,20,2,12,10,no,yes,2
164,1629,19,12,2,21,10,no,no,2
165,4092,38,7,52,21,26,yes,no,5
166,4055,39,7,36,17,18,no,no,5
167,3766,31,1,20,19,20,no,no,5
168,3753,35,1,24,21,28,no,no,5
169,751,16,20,6,13,6,no,yes,2
170,2691,22,24,6,19,12,no,no,1
171,2762,20,16,14,15,26,no,no,5
172,1091,22,16,14,13,8,no,yes,2
173,1370,16,20,6,19,4,no,no,2
174,1931,24,8,2,17,4,no,no,2
175,1241,21,24,10,23,8,no,no,1
176,2814,21,16,10,17,18,no,no,5
177,753,21,24,6,13,8,no,yes,1
178,3244,37,7,28,19,26,yes,no,5
179,1471,16,20,2,15,4,no,no,2
180,2935,24,28,2,17,30,no,no,5
181,720,22,16,2,13,4,yes,no,2
182,3453,31,7,40,21,30,no,no,4
183,729,22,8,6,13,10,no,yes,2
184,3621,38,5,24,21,14,no,no,2
185,881,23,8,10,13,6,no,yes,2
186,2223,23,8,14,19,12,no,no,1
187,2740,15,12,2,21,14,yes,no,2
188,3722,39,5,56,21,12,no,no,1
189,706,21,8,6,12,10,no,yes,1
190,2069,21,28,2,19,22,no,no,4
191,1676,21,28,14,19,4,yes,no,1
192,2092,21,16,14,19,16,yes,no,1
193,1505,23,8,10,15,6,no,no,1
194,1835,22,12,14,19,4,no,no,2
195,1759,21,24,6,17,4,no,no,1
196,3518,31,3,60,15,28,no,no,4
197,1428,18,20,2,21,8,yes,no,2
198,1027,24,20,10,13,10,no,yes,1
199,3724,35,5,56,17,18,yes,no,4
200,3799,30,3,32,17,22,no,no,4
201,948,23,8,14,12,8,yes,no,2
202,4145,37,5,44,15,14,no,no,1
203,3678,34,5,40,19,26,no,no,4
204,3553,30,1,40,21,26,no,no,5
205,2108,17,16,10,19,20,yes,no,4
206,1253,19,12,10,19,8,no,no,1
207,1665,16,8,6,15,8,no,no,1
208,4299,38,3,36,21,14,no,no,1
209,3527,36,7,60,19,16,no,no,1
210,3237,34,5,40,17,16,no,no,2
211,4186,39,3,60,19,18,no,no,5
212,3341,31,1,32,23,14,no,no,2
213,2946,16,20,6,23,20,no,no,5
214,3775,38,5,32,17,22,no,no,5
215,2054,18,12,2,23,26,no,no,5
216,3799,31,7,52,19,22,no,no,4
217,3597,32,7,56,19,28,no,no,5
218,1934,21,24,2,15,8,no,no,2
219,1877,15,20,10,21,6,no,no,1
220,1831,19,16,2,23,4,no,no,2
221,3426,32,1,52,17,22,no,no,5
222,1607,24,12,14,15,10,no,no,1
223,3284,32,5,60,17,18,yes,no,4
224,1744,22,16,14,23,4,yes,no,2
225,2101,20,20,6,23,12,no,no,2
226,3823,37,1,32,21,20,no,no,5
227,1675,23,8,6,21,10,no,no,1
228,2447,24,28,6,23,18,no,no,5
229,3196,35,7,32,19,12,yes,no,2
230,1820,15,28,14,15,6,yes,no,2
231,3647,36,1,52,15,16,no,no,2
232,868,17,12,14,12,8,yes,no,1
233,2674,21,24,14,23,24,no,no,4
234,4341,30,7,52,19,16,no,no,2
235,2432,19,20,2,17,28,yes,no,5
236,1955,18,24,10,17,8,no,no,1
237,1048,20,16,14,11,6,yes,no,2
238,3076,35,5,60,17,18,yes,no,4
239,2412,19,24,14,15,18,yes,no,5
240,2449,18,28,6,19,24,no,no,5
241,1604,15,12,2,19,4,yes,no,1
242,2323,16,24,14,17,24,no,no,4
243,2282,24,24,10,15,20,no,no,4
244,2848,16,28,14,17,12,yes,no,2
245,3397,33,1,24,17,30,no,no,5
246,815,18,24,6,12,4,no,yes,2
247,3451,34,3,60,19,22,no,no,5
248,3907,37,5,56,15,30,no,no,5
249,4207,34,3,20,15,12,no,no,1
250,2593,20,8,10,19,24,no,no,4
251,4285,36,3,32,23,12,no,no,2
252,3828,35,3,44,17,16,yes,no,2
253,1097,17,8,6,13,10,no,yes,1
254,916,24,8,10,13,8,yes,no,2
255,550,22,28,2,11,10,no,yes,1
256,2678,19,8,6,17,20,no,no,5
257,1219,20,12,6,19,6,no,no,2
258,976,19,16,6,12,10,yes,no,1
259,2501,19,12,2,19,28,no,no,4
260,3105,39,3,36,19,14,no,no,2
261,3133,34,7,56,19,24,no,no,4
262,4090,39,7,56,17,28,no,no,4
263,3947,30,1,36,15,28,no,no,4
264,611,16,12,2,11,10,no,yes,2
265,3809,31,5,36,23,14,no,no,1
266,3883,39,5,24,15,26,no,no,5
267,3828,39,5,40,19,18,yes,no,5
268,1398,24,20,2,21,6,no,no,2
269,821,18,28,2,13,6,no,yes,2
270,2984,20,20,2,19,22,yes,no,4
271,4284,37,1,16,19,26,yes,no,5
272,3254,39,5,16,23,16,no,no,1
273,4112,32,5,60,19,24,yes,no,5
274,717,18,24,2,12,8,no,yes,2
275,985,17,16,2,13,8,no,yes,1
276,1344,19,16,10,19,4,yes,no,2
277,1682,23,28,2,21,6,no,no,2
278,2250,17,8,6,17,28,no,no,4
279,601,23,28,10,13,4,no,yes,2
280,3442,31,7,40,17,30,no,no,5
281,3486,34,1,40,23,30,no,no,4
282,776,16,20,10,11,10,yes,no,2
283,2169,20,24,14,17,12,no,no,2
284,3730,37,7,56,17,14,no,no,2
285,831,21,24,10,12,6,no,yes,2
286,2313,18,12,10,15,30,no,no,5
287,3466,38,5,56,15,22,no,no,4
288,2322,23,24,2,21,30,no,no,4
289,3402,36,1,56,21,28,no,no,4
290,3173,34,7,24,17,26,no,no,4
291,1414,18,12,6,23,6,no,no,2
292,3493,34,1,56,21,20,no,no,5
293,1775,16,16,2,19,6,no,no,2
294,1618,18,28,14,19,6,no,no,2
295,1126,16,8,14,11,4,no,yes,1
296,2032,22,24,10,15,18,yes,no,5
297,3790,37,3,24,21,14,no,no,2
298,864,21,12,6,13,6,yes,no,1
299,2316,19,28,14,15,26,yes,no,5
300,3558,37,7,60,19,16,no,no,1
301,3601,34,1,24,17,20,no,no,5
302,1915,19,20,6,15,8,no,no,1
303,3379,34,3,60,17,18,no,no,4
304,3358,36,1,48,17,16,no,no,2
305,2048,23,28,2,15,30,yes,no,4
306,2415,23,16,2,21,14,no,no,2
307,2378,21,8,14,19,12,no,no,1
308,1372,20,20,2,23,6,yes,no,2
309,4091,34,1,16,15,20,no,no,5
310,4191,36,7,16,15,30,no,no,5
311,2661,15,24,2,23,18,no,no,5
312,1016,15,16,14,13,4,yes,no,2
313,1840,21,12,6,23,6,yes,no,1
314,2821,16,24,2,19,24,no,no,4
315,1675,19,24,2,23,4,no,no,2
316,1378,19,28,10,19,10,no,no,2
317,3527,30,3,28,17,28,no,no,5
318,4345,30,1,40,15,16,no,no,2
319,1044,18,20,10,13,8,yes,no,1
320,1096,18,8,14,13,4,yes,no,1
321,595,22,20,10,13,8,no,yes,1
322,3260,36,7,20,17,18,yes,no,4
323,3742,34,3,40,19,26,no,no,4
324,3311,33,3,16,21,30,no,no,4
325,2235,17,28,10,23,20,no,no,4
326,3374,33,1,32,21,16,no,no,1
327,804,22,24,2,12,8,yes,no,1
328,3780,35,5,52,15,16,yes,no,1
329,2380,23,24,10,23,22,yes,no,5
330,3000,31,5,44,15,14,yes,no,1
331,2979,22,16,14,15,28,no,no,4
332,2295,15,24,14,19,12,no,no,2
333,3013,31,7,20,19,20,no,no,4
334,4050,33,1,24,23,28,no,no,5
335,855,15,8,2,13,8,no,yes,2
336,2931,15,8,14,21,16,no,no,1
337,4016,30,5,36,15,14,yes,no,1
338,686,22,24,6,12,6,no,yes,1
339,3104,32,1,24,19,30,yes,no,5
340,3779,30,1,36,21,26,no,no,4
341,3540,30,1,32,17,22,yes,no,4
342,709,24,8,2,13,4,no,yes,2
343,1004,21,20,14,11,10,yes,no,1
344,1355,16,8,6,17,8,no,no,2
345,2076,23,20,14,15,12,yes,no,2
346,778,18,16,2,11,10,no,yes,2
347,2162,24,24,6,23,28,no,no,5
348,4332,32,3,52,23,30,yes,no,5
349,2339,20,16,10,23,22,no,no,4
350,3710,31,1,20,19,18,no,no,5
351,2126,19,20,6,19,28,no,no,5
352,2675,20,28,2,21,14,no,no,2
353,2979,22,16,14,17,20,no,no,5
354,1291,17,12,14,21,10,no,no,1
355,3162,36,5,40,21,30,no,no,4
356,858,18,12,14,13,4,no,yes,2
357,1458,19,16,6,21,6,no,no,2
358,3964,37,1,48,15,26,yes,no,5
359,1068,21,8,6,12,8,yes,no,2
360,3304,34,1,32,15,18,yes,no,5
361,1454,17,24,10,21,4,no,no,1
362,1156,17,24,6,13,4,yes,no,2
363,1234,15,20,10,15,10,no,no,1
364,1508,23,20,2,19,6,yes,no,2
365,2677,19,24,2,19,20,no,no,4
366,2043,22,20,14,23,18,no,no,5
367,1663,23,12,10,17,6,no,no,2
368,3696,34,5,48,17,20,yes,no,5
369,2972,15,24,14,23,24,yes,no,4
370,2627,18,16,10,17,24,no,no,4
371,2251,19,24,14,23,22,no,no,4
372,3427,39,5,24,15,28,no,no,5
373,2906,15,28,6,21,20,no,no,4
374,1515,19,24,14,17,8,no,no,2
375,3295,35,7,44,23,22,no,no,5
376,2340,21,16,14,19,18,yes,no,5
377,3798,35,3,20,19,20,no,no,4
378,3536,32,3,60,23,22,yes,no,5
379,3697,33,7,44,21,18,no,no,4
380,2348,16,28,6,15,22,yes,no,5
381,2150,24,8,6,19,12,no,no,1
382,3933,36,1,16,23,14,no,no,2
383,3912,30,7,56,17,24,yes,no,4
384,575,18,12,14,11,6,no,yes,1
385,3972,36,7,28,15,20,yes,no,4
386,3362,31,7,52,17,24,no,no,4
387,2342,23,20,14,21,24,no,no,4
388,722,21,16,10,11,4,no,yes,1
389,4321,33,1,28,23,30,no,no,5
390,2126,24,28,6,21,30,no,no,4
391,3781,32,3,60,17,30,no,no,5
392,1801,17,8,6,23,8,no,no,2
393,1507,21,24,6,17,4,no,no,2
394,3975,32,1,48,23,28,no,no,5
395,3516,39,7,24,23,30,yes,no,4
396,1382,22,16,6,17,10,no,no,2
397,2789,23,20,10,17,18,no,no,5
398,4280,39,5,52,23,22,yes,no,5
399,1458,16,24,2,15,6,no,no,1
400,1818,23,28,6,19,6,no,no,2
401,1698,17,16,10,19,6,no,no,1
402,1475,20,12,10,19,4,no,no,2
403,3190,34,5,56,15,30,no,no,5
404,3187,35,1,44,23,24,no,no,5
405,1254,22,8,6,15,8,no,no,1
406,3928,35,3,24,23,30,yes,no,5
407,1512,19,16,2,17,6,yes,no,1
408,1949,21,12,10,17,8,no,no,2
409,1940,20,8,10,23,10,yes,no,1
410,2558,23,16,10,19,26,no,no,5
411,1451,23,24,2,19,4,no,no,1
412,2445,20,8,6,17,12,no,no,1
413,2431,16,8,14,23,14,no,no,1
414,1211,19,20,14,15,10,no,no,1
415,3382,31,1,20,15,24,no,no,5
416,3004,37,5,24,21,26,yes,no,4
417,3452,32,7,60,21,30,yes,no,4
418,3789,36,3,36,19,28,no,no,5
419,3979,34,7,44,23,12,no,no,1
420,2691,17,16,6,21,24,no,no,4
421,3729,32,7,32,15,30,no,no,5
422,3946,32,7,56,21,16,no,no,1
423,966,20,20,6,13,10,no,yes,2
424,1456,16,8,10,23,6,yes,no,1
425,2290,24,20,2,17,26,no,no,5
426,863,18,8,10,13,10,no,yes,1
427,2320,16,16,2,21,18,yes,no,4
428,2056,15,12,2,19,22,yes,no,5
429,3204,35,7,24,21,16,yes,no,1
430,2992,17,8,14,21,12,yes,no,1
431,1697,21,24,14,19,10,no,no,2
432,4102,30,5,52,17,26,no,no,4
433,3393,36,5,20,17,26,no,no,4
434,2021,15,28,14,19,26,no,no,5
435,1971,20,16,2,23,4,no,no,1
436,1569,22,28,10,21,4,no,no,1
437,3612,34,7,60,21,14,yes,no,2
438,3262,38,7,36,23,18,no,no,5
439,3611,38,3,36,21,30,no,no,4
440,3498,36,1,16,15,14,no,no,2
441,2101,22,12,10,23,12,no,no,2
442,2412,23,12,6,17,20,yes,no,5
443,1371,21,12,10,17,4,no,no,2
444,2024,15,24,2,19,18,yes,no,4
445,4179,33,7,36,17,24,no,no,4
446,3644,35,5,20,15,14,yes,no,1
447,2059,24,12,6,21,30,no,no,5
448,868,18,28,2,12,8,yes,no,1
449,781,21,8,10,11,10,no,yes,2
450,1894,19,28,14,17,4,no,no,2
451,768,17,12,14,13,6,yes,no,2
452,2699,20,8,2,21,16,no,no,2
453,1900,16,12,10,23,4,yes,no,1
454,626,22,20,10,11,6,no,yes,2
455,1920,21,24,10,17,6,yes,no,2
456,3689,34,1,52,15,14,no,no,1
457,1092,21,16,10,12,10,yes,no,2
458,2416,19,20,6,15,28,yes,no,4
459,3254,39,5,24,19,16,no,no,1
460,3058,30,1,56,19,26,no,no,4
461,3530,32,7,16,23,18,no,no,4
462,3932,34,1,36,17,24,yes,no,5
463,3148,34,7,24,21,28,yes,no,5
464,2433,17,12,2,21,30,no,no,5
465,2575,20,8,10,17,28,no,no,4
466,1964,17,12,6,15,4,yes,no,1
467,1169,15,24,6,11,4,no,yes,1
468,2230,17,24,6,21,20,no,no,5
469,3718,32,1,44,15,18,no,no,5
470,3102,31,7,56,15,12,no,no,1
471,4346,35,3,28,21,28,no,no,4
472,1904,20,16,6,19,4,yes,no,2
473,4186,37,5,20,15,22,no,no,5
474,3649,36,1,40,21,26,no,no,5
475,4112,39,3,36,17,16,yes,no,2
476,1303,20,24,2,17,8,no,no,2
477,2460,22,24,10,15,20,yes,no,4
478,919,19,16,14,13,4,no,yes,2
479,1704,24,20,14,17,8,yes,no,2
480,3096,31,7,44,17,30,yes,no,5
481,4115,32,1,16,17,24,no,no,4
482,2613,22,20,10,17,16,no,no,2
483,2447,15,20,6,19,18,no,no,5
484,2292,15,16,6,23,26,yes,no,5
485,697,20,20,14,13,8,no,yes,1
486,4000,30,3,16,17,22,yes,no,5
487,2432,16,16,14,17,24,yes,no,5
488,3010,30,1,32,15,28,no,no,5
489,3287,39,5,60,23,22,no,no,4
490,3458,39,3,16,23,28,no,no,5
491,2428,18,20,6,19,24,yes,no,4
492,4291,36,1,44,17,22,no,no,5
493,618,16,12,10,12,8,no,yes,2
494,3340,34,3,56,19,28,yes,no,4
495,2861,19,20,2,23,12,no,no,1
496,3329,39,1,36,19,18,no,no,4
497,3817,30,1,40,19,16,no,no,2
498,711,16,20,2,13,10,no,yes,1
499,3208,32,3,40,17,14,yes,no,1
500,823,23,24,6,12,6,no,yes,2
501,1646,20,8,6,21,6,no,no,2
502,2371,16,28,2,21,22,no,no,5
503,1318,23,20,10,23,8,no,no,2
504,2002,22,24,14,23,26,no,no,4
505,3583,39,1,24,17,24,no,no,4
506,2708,24,28,6,21,28,yes,no,5
507,1626,20,24,14,15,8,no,no,1
508,2206,15,20,2,23,14,no,no,1
509,2918,21,20,2,23,16,no,no,1
510,3325,35,1,16,23,28,no,no,5
511,3202,33,5,52,19,26,no,no,4
512,2410,19,28,6,23,14,no,no,1
513,1880,20,12,2,23,10,yes,no,1
514,3530,37,1,24,17,18,no,no,5
515,3248,30,1,32,23,12,yes,no,1
516,3916,39,3,36,19,18,yes,no,5
517,2165,19,16,2,21,16,no,no,2
518,1826,19,20,14,23,8,no,no,1
519,739,15,28,2,11,8,no,yes,1
520,913,24,28,10,12,10,no,yes,2
521,4332,35,1,48,17,18,yes,no,4
522,2480,24,28,2,21,12,yes,no,2
523,3658,34,7,44,23,12,no,no,1
524,3144,32,3,24,23,24,yes,no,5
525,3653,32,5,40,21,18,no,no,4
526,4330,30,5,60,15,12,no,no,1
527,2000,16,24,6,21,16,yes,no,2
528,1581,17,8,6,21,8,no,no,1
529,3850,36,1,40,15,30,no,no,5
530,3453,30,3,40,23,12,no,no,1
531,1084,21,12,10,11,6,yes,no,1
532,2072,15,24,14,23,28,yes,no,5
533,1804,19,16,6,19,6,yes,no,1
534,3859,38,1,48,17,28,no,no,4
535,1696,18,16,6,19,8,yes,no,2
536,2292,15,20,14,15,16,yes,no,2
537,2804,18,16,14,23,12,yes,no,2
538,1610,23,8,10,17,4,no,no,1
539,1887,18,28,2,21,10,no,no,1
540,2103,19,28,10,15,28,no,no,5
541,1351,17,24,14,15,8,no,no,1
542,3882,38,5,36,21,14,no,no,2
543,2353,19,24,2,21,12,no,no,1
544,4282,39,7,36,17,26,no,no,4
545,3568,33,1,20,21,30,yes,no,4
546,3411,39,3,60,21,18,no,no,5
547,1512,18,24,6,19,6,yes,no,1
548,3317,32,3,16,19,30,no,no,4
549,4286,39,3,36,15,14,no,no,2
550,2331,21,28,2,23,14,no,no,1
551,2476,15,12,14,19,14,yes,no,1
552,2334,24,28,2,19,24,no,no,4
553,1338,20,24,2,15,6,no,no,2
554,1917,21,24,6,19,6,no,no,1
555,1353,15,24,14,19,6,no,no,2
556,1085,15,8,2,13,10,no,yes,2
557,796,16,28,10,13,6,yes,no,1
558,679,17,12,10,11,6,no,yes,2
559,2677,21,28,6,15,26,no,no,5
560,2285,16,28,6,19,26,no,no,5
561,3931,35,7,24,19,18,no,no,4
562,3053,30,7,40,21,26,no,no,5
563,4157,31,3,60,17,22,no,no,4
564,883,23,28,6,13,6,no,yes,1
565,1649,18,12,14,21,8,no,no,2
566,1783,16,12,14,21,6,no,no,2
567,3836,32,5,44,19,16,yes,no,2
568,1740,23,8,14,17,8,yes,no,2
569,3621,34,7,28,19,30,no,no,5
570,911,23,8,6,13,4,no,yes,1
571,1440,17,12,14,17,8,yes,no,2
572,3942,39,1,36,21,28,no,no,5
573,652,19,16,14,13,6,yes,no,2
574,3103,30,1,60,23,22,no,no,5
575,1892,17,20,6,15,10,yes,no,1
576,3439,32,5,44,17,20,no,no,5
577,3894,30,1,24,19,30,no,no,5
578,3003,30,1,28,17,20,no,no,4
579,2552,20,20,6,21,28,yes,no,4
580,3970,38,5,20,17,14,no,no,2
581,1227,15,20,2,17,8,no,no,1
582,779,22,28,10,12,4,no,yes,2
583,2132,17,24,6,23,24,yes,no,4
584,4018,30,7,32,23,24,no,no,5
585,1596,22,28,10,15,8,yes,no,2
586,1332,22,24,10,21,6,yes,no,2
587,1172,17,8,14,13,10,yes,no,1
588,2652,15,24,2,19,18,yes,no,5
589,3815,34,7,44,23,30,no,no,5
590,2983,21,20,10,19,28,no,no,5
591,2374,17,8,10,19,16,no,no,1
592,3298,30,3,36,23,24,no,no,5
593,3562,36,7,20,23,12,no,no,2
594,3606,33,1,48,19,30,no,no,4
595,852,23,24,2,13,8,yes,no,2
596,959,20,8,2,12,10,no,yes,2
597,2445,22,28,2,17,20,no,no,5
598,513,23,16,2,11,10,no,yes,1
599,3172,36,1,48,21,14,yes,no,1
600,3763,38,7,56,15,12,no,no,2
601,1028,17,24,2,13,8,yes,no,2
602,1581,24,24,2,23,8,no,no,2
603,3942,39,3,60,21,26,no,no,5
604,888,24,20,2,11,10,yes,no,1
605,1809,19,20,10,21,6,no,no,1
606,1334,20,8,10,17,6,no,no,1
607,655,18,12,2,12,10,no,yes,2
608,2504,22,12,6,21,28,yes,no,4
609,583,18,16,14,11,4,no,yes,1
610,3201,35,5,32,17,28,no,no,4
611,3253,32,7,56,23,28,no,no,4
612,3614,38,3,44,15,18,no,no,5
613,514,16,16,2,13,8,no,yes,2
614,2167,22,20,2,19,28,no,no,5
615,1277,20,8,14,21,10,no,no,2
616,3949,37,1,48,15,18,no,no,4
617,1504,16,8,14,17,8,yes,no,2
618,3399,30,5,32,23,18,no,no,5
619,4269,31,3,60,15,16,no,no,2
620,3305,33,3,40,15,22,no,no,5
621,3094,37,7,16,23,20,no,no,5
622,756,17,16,6,11,4,yes,no,2
623,3631,35,7,52,19,14,no,no,1
624,3309,39,3,56,23,18,no,no,5
625,2866,23,16,10,23,28,no,no,4
626,1578,24,28,2,23,4,no,no,2
627,2721,24,16,2,21,22,no,no,4
628,3199,31,3,36,23,12,no,no,1
629,2681,18,16,2,15,18,no,no,4
630,2150,22,28,10,21,20,no,no,4
631,959,17,28,6,13,10,no,yes,1
632,4010,39,7,40,15,26,no,no,4
633,3526,33,1,44,23,20,no,no,4
634,2326,21,20,2,21,18,no,no,5
635,2332,24,20,6,19,12,yes,no,1
636,1224,24,20,14,19,8,yes,no,1
637,870,17,16,14,12,8,no,yes,2
638,580,23,28,10,13,8,yes,no,2
639,2561,19,28,6,17,16,no,no,1
640,3661,30,1,52,23,16,no,no,2
641,1071,22,24,14,11,8,no,yes,1
642,1860,19,20,14,15,8,yes,no,2
643,3726,35,3,60,21,22,no,no,4
644,4040,38,1,16,15,20,yes,no,5
645,3085,31,5,48,19,14,no,no,1
646,3631,34,5,40,23,18,no,no,4
647,3088,39,3,52,15,28,yes,no,4
648,1868,18,28,2,17,10,yes,no,2
649,3843,37,1,36,15,20,no,no,5
650,2382,24,16,6,23,12,no,no,2
651,1381,18,8,10,23,10,no,no,1
652,1208,16,28,10,21,10,yes,no,1
653,4136,30,3,60,21,12,yes,no,1
654,1699,19,28,6,23,10,no,no,2
655,2863,23,28,2,21,20,no,no,4
